Feature ID,Feature Name,Feature Class,Primary State,Primary County Name,Elevation (Meters),Elevation (Feet),USGS Map Name,Primary Point (Coordinates),Date Created,Date Edited
1994941,Burlington Ear Nose and Throat Clinic,Hospital,IA,Des Moines,215,705,West Burlington,POINT (-91.1709805 40.8105944),09/16/2003,
2046285,Meadow Lawn Nursing Center,Hospital,IA,Scott,217,712,Davenport West,POINT (-90.637917 41.570309),09/22/2004,
2046026,Cedarloo Family Practice Center,Hospital,IA,Black Hawk,282,925,Cedar Falls,POINT (-92.4254652 42.5060961),09/22/2004,
1997630,McFarland Family Health Center,Hospital,IA,Hardin,336,1102,Hubbard,POINT (-93.2960387 42.3052619),09/16/2003,
2000530,Crescent Nursing and Rehabilitation Center,Hospital,IA,Muscatine,223,732,Muscatine,POINT (-91.0848732 41.446694400000005),09/26/2003,
1995276,Indian Hills Medical Clinic,Hospital,IA,Woodbury,355,1165,Sioux City North,POINT (-96.3758617 42.5369382),09/16/2003,
2048471,Fleur Heights Care Center,Hospital,IA,Polk,281,922,Des Moines SW,POINT (-93.6429963 41.5397119),10/04/2004,
2047790,Mercy West Family Clinic,Hospital,IA,Polk,284,932,Commerce,POINT (-93.7746675 41.6047111),10/04/2004,
2552145,Lakes Regional Healthcare,Hospital,IA,Dickinson,444,1457,Spirit Lake,POINT (-95.1244702 43.4176776),04/07/2010,01/14/2020
1994850,Friendship Home,Hospital,IA,Audubon,410,1345,Audubon,POINT (-94.9291535 41.72498650000001),09/16/2003,
1996474,Evangelical Free Church Home,Hospital,IA,Boone,338,1109,Boone West,POINT (-93.89356110000001 42.0597045),09/16/2003,
1999642,Lynnville Medical Clinic,Hospital,IA,Jasper,249,817,Sully,POINT (-92.7826928 41.5791632),09/26/2003,
1994718,Iowa Physicians Center,Hospital,IA,Carroll,389,1276,Carroll East,POINT (-94.8669304 42.0555408),09/16/2003,
2001646,Clarence Family Practice Center,Hospital,IA,Cedar,259,850,Clarence,POINT (-91.0643205 41.8861292),09/26/2003,
1995270,Beckwith Cottage,Hospital,IA,Woodbury,362,1188,James,POINT (-96.3725283 42.5402715),09/16/2003,
2048670,Methodist Lutheran Physicians Center,Hospital,IA,Polk,286,938,Commerce,POINT (-93.7510556 41.585267),10/04/2004,
2000526,Muscatine Medical Surgical Center,Hospital,IA,Muscatine,195,640,Muscatine,POINT (-91.0557056 41.434195),09/26/2003,
2002291,Iowa City Family Practice Center,Hospital,IA,Johnson,229,751,Iowa City West,POINT (-91.50239 41.6639059),09/26/2003,
1995816,Manson Good Samaritan Center,Hospital,IA,Calhoun,380,1247,Manson,POINT (-94.5346976 42.5344215),09/16/2003,
1995120,American Eyecare Center,Hospital,IA,Des Moines,210,689,West Burlington,POINT (-91.140702 40.8264275),09/16/2003,
2001595,Cookson Memorial Home,Hospital,IA,Cedar,232,761,West Branch,POINT (-91.345163 41.6669642),09/26/2003,
1983444,Eyecare Associates Center,Hospital,IA,Grundy,307,1007,Conrad East,POINT (-92.8738121 42.2247077),01/16/2003,
1994689,Thomas Rest Haven,Hospital,IA,Carroll,358,1175,Coon Rapids South,POINT (-94.674423 41.8713748),09/16/2003,
1997645,Eldora Nursing and Rehab Center,Hospital,IA,Hardin,320,1050,Eldora,POINT (-93.1115911 42.3588717),09/16/2003,
1995259,Samuelson Bone Joint and Spine Center,Hospital,IA,Woodbury,390,1280,Sioux City North,POINT (-96.4041958 42.5186052),09/16/2003,
1996671,Trimark Orthopaedics and Podiatry Center,Hospital,IA,Webster,340,1115,Fort Dodge South,POINT (-94.1969062 42.4719145),09/16/2003,
1994729,Carroll Eye Clinic,Hospital,IA,Carroll,389,1276,Carroll East,POINT (-94.86859700000001 42.0672073),09/16/2003,
1999605,Methodist Lutheran Physicians Center,Hospital,IA,Jasper,283,928,Prairie City,POINT (-93.2357609 41.5986007),09/26/2003,
2000219,Vinton Family Practice Center,Hospital,IA,Benton,252,827,Vinton,POINT (-92.0124026 42.1730506),09/26/2003,
1995238,Harvest Westside Nursing and Rehabilitation Center,Hospital,IA,Woodbury,362,1188,Sioux City North,POINT (-96.4419745 42.50499450000001),09/16/2003,
1994723,Family and Specialty Medical Center,Hospital,IA,Carroll,387,1270,Carroll East,POINT (-94.8680415 42.0652629),09/16/2003,
2048572,Veteran Affairs Central Iowa Health Care System,Hospital,IA,Polk,279,915,Des Moines NW,POINT (-93.66057480000002 41.6277381),10/04/2004,05/30/2019
1999352,Zearing Medical Clinic,Hospital,IA,Story,321,1053,Zearing,POINT (-93.2974283 42.1608193),09/26/2003,
1996676,Trimark Family Practice Associates Center,Hospital,IA,Webster,341,1119,Fort Dodge North,POINT (-94.1780163 42.5085805),09/16/2003,
1995784,McFarland Clinic at Rockwell,Hospital,IA,Calhoun,370,1214,Richard,POINT (-94.6224778 42.3977575),09/16/2003,
1997072,McFarland Eye Center,Hospital,IA,Marshall,285,935,Marshalltown,POINT (-92.9068663 42.048599),09/16/2003,
1997397,Family Medicine,Hospital,IA,Poweshiek,307,1007,Grinnell South,POINT (-92.733246 41.7413826),09/16/2003,
2002121,Cedar Valley Medical Clinic,Hospital,IA,Black Hawk,270,886,Waterloo North,POINT (-92.3390736 42.5263746),09/26/2003,
1983383,Grundy Care Center,Hospital,IA,Grundy,310,1017,Grundy Center,POINT (-92.7624216 42.3580391),01/16/2003,
1999921,Strawberry Point Medical Center,Hospital,IA,Delaware,298,978,Manchester,POINT (-91.4676479 42.4849869),09/26/2003,
1999681,Baxter Medical Clinic,Hospital,IA,Jasper,307,1007,Baxter,POINT (-93.1515905 41.82582200000001),09/26/2003,
1999815,Colonial Manor of Amana,Hospital,IA,Iowa,224,735,Middle Amana,POINT (-91.8765669 41.800007),09/26/2003,
1983202,Country Living Care Center,Hospital,IA,Tama,275,902,Tama,POINT (-92.5768598 41.99554690000001),01/16/2003,
1982797,ANP Foot and Ankle Clinic,Hospital,IA,Crawford,360,1181,Denison,POINT (-95.3538868 42.0122102),01/16/2003,
1997392,McCaw Family Medicine,Hospital,IA,Poweshiek,308,1010,Grinnell South,POINT (-92.7340793 41.74277140000001),09/16/2003,
2000683,Mercy Medical Center South Campus,Hospital,IA,Clinton,191,627,Clinton,POINT (-90.2136475 41.8397823),09/26/2003,01/06/2020
1999920,Manchester Dental Clinic,Hospital,IA,Delaware,286,938,Manchester,POINT (-91.4468138 42.4841542),09/26/2003,
1997530,Heritage Care Center,Hospital,IA,Hardin,334,1096,Iowa Falls West,POINT (-93.2857593 42.5205354),09/16/2003,
1996512,Family Foot Care Specialists Center,Hospital,IA,Boone,310,1017,Luther,POINT (-93.8218923 41.8766526),09/16/2003,
2002125,Integra Health Center,Hospital,IA,Black Hawk,278,912,Hudson,POINT (-92.38352 42.4691529),09/26/2003,
1995567,Grandview Medical Clinic,Hospital,IA,Woodbury,333,1093,Sergeant Bluff,POINT (-96.3628066 42.3972156),09/16/2003,
2002420,Coralville Eye Clinic,Hospital,IA,Johnson,207,679,Iowa City West,POINT (-91.5785029 41.6750156),09/26/2003,
2000684,Clinton Back and Neck Care Center,Hospital,IA,Clinton,186,610,Clinton,POINT (-90.2009605 41.8478069),09/26/2003,
1995272,Siouxland Womens Health Care Center,Hospital,IA,Woodbury,370,1214,Sioux City North,POINT (-96.4016958 42.5011053),09/16/2003,
1983079,Iowa Osteopathic Institute,Hospital,IA,Ida,371,1217,Ida Grove,POINT (-95.47388890000002 42.3516538),01/16/2003,
2047436,Newborn and Pediatric Specialists Center,Hospital,IA,Polk,279,915,Des Moines SW,POINT (-93.6268848 41.5974892),10/04/2004,
1996067,Eye Care Associates Center,Hospital,IA,Guthrie,322,1056,Panora,POINT (-94.3563545 41.6919312),09/16/2003,
1995928,McFarland Clinic,Hospital,IA,Greene,329,1079,Jefferson West,POINT (-94.3891355 42.0160943),09/16/2003,
1994722,Carroll Dental Clinic,Hospital,IA,Carroll,383,1257,Carroll East,POINT (-94.8641525 42.0647073),09/16/2003,
1995083,Danville Care Center,Hospital,IA,Des Moines,220,722,Danville,POINT (-91.3159849 40.8625361),09/16/2003,
2048482,Mercy Subacute Care Center,Hospital,IA,Polk,267,876,Des Moines SE,POINT (-93.6238291 41.5972114),10/04/2004,
2002474,North Liberty Family Health Center,Hospital,IA,Johnson,231,758,Iowa City West,POINT (-91.6071165 41.7472359),09/26/2003,
2002419,Family Health Centre,Hospital,IA,Johnson,209,686,Iowa City West,POINT (-91.578503 41.6764044),09/26/2003,
1996664,Regional Pathologists Center,Hospital,IA,Webster,343,1125,Fort Dodge South,POINT (-94.1949616 42.4891363),09/16/2003,
2048665,Iowa Health Physicians Center,Hospital,IA,Polk,296,971,Commerce,POINT (-93.7902236 41.6005445),10/04/2004,
2046807,Northbrook Manor Care Center,Hospital,IA,Linn,250,820,Cedar Rapids North,POINT (-91.6571229 42.0422205),09/22/2004,
1995116,Burlington Medical Center at Klein,Hospital,IA,Des Moines,212,696,Burlington,POINT (-91.1079229 40.7750397),09/16/2003,
1995631,Correctionville Nursing and Rehabilitation Center,Hospital,IA,Woodbury,345,1132,Correctionville,POINT (-95.7769537 42.4808218),09/16/2003,
1999802,Rose Haven Nurse Home,Hospital,IA,Iowa,225,738,Marengo,POINT (-92.0721254 41.8044479),09/26/2003,
1997076,Marshalltown Foot and Ankle Clinic,Hospital,IA,Marshall,279,915,Marshalltown,POINT (-92.9043663 42.0491546),09/16/2003,
1994851,Audubon County Memorial Hospital,Hospital,IA,Audubon,404,1325,Audubon,POINT (-94.9378352 41.7156376),09/16/2003,01/05/2020
1997527,Ellsworth Municipal Hospital,Hospital,IA,Hardin,337,1106,Iowa Falls West,POINT (-93.259327 42.5219371),09/16/2003,08/27/2015
1999623,Monroe Family Health Center,Hospital,IA,Jasper,279,915,Monroe,POINT (-93.1007573 41.5169368),09/26/2003,
1982985,Lake View Family Dentistry Center,Hospital,IA,Sac,382,1253,Lake View,POINT (-95.053324 42.30665),01/16/2003,
2001767,Anamosa Family Practice Center,Hospital,IA,Jones,255,837,Anamosa,POINT (-91.26321410000001 42.1019491),09/26/2003,
2001594,Crestview Nursing and Rehabilitation Center,Hospital,IA,Cedar,226,741,West Branch,POINT (-91.3476634 41.6775196),09/26/2003,
1995786,Sunny Knoll Care Center,Hospital,IA,Calhoun,370,1214,Richard,POINT (-94.6224778 42.3980353),09/16/2003,
2001163,Dubuque Neurology Center,Hospital,IA,Dubuque,274,899,Dubuque South,POINT (-90.6834607 42.4986138),09/26/2003,
1996319,Dallas County Hospital,Hospital,IA,Dallas,301,988,Perry,POINT (-94.0937194 41.8334695),09/16/2003,01/05/2020
2000928,Briarwood Care Center,Hospital,IA,Jackson,227,745,Maquoketa,POINT (-90.6590247 42.0633535),09/26/2003,
1982801,Broadway Dental Center,Hospital,IA,Crawford,386,1266,Denison,POINT (-95.3519423 42.0166547),01/16/2003,
2046785,Saint Luke's Hospital,Hospital,IA,Linn,232,761,Cedar Rapids South,POINT (-91.660424 41.9853477),09/22/2004,05/01/2018
2002421,Town Square Family Foot Care Center,Hospital,IA,Johnson,207,679,Iowa City West,POINT (-91.5785029 41.6750156),09/26/2003,
1995929,Jefferson Eye Care Center,Hospital,IA,Greene,327,1073,Jefferson East,POINT (-94.37385710000001 42.0152608),09/16/2003,
2000678,Alverno Health Care Facility,Hospital,IA,Clinton,194,636,Clinton,POINT (-90.194016 41.8591956),09/26/2003,
1983037,Sioux Valley Medical Associates Center,Hospital,IA,Ida,442,1450,Holstein,POINT (-95.545003 42.4891531),01/16/2003,
2002292,Associated Foot and Ankle Specialists Center,Hospital,IA,Johnson,211,692,Iowa City West,POINT (-91.5060006 41.6436285),09/26/2003,
2001367,Mercy Medical Center Dyersville,Hospital,IA,Dubuque,295,968,Dyersville West,POINT (-91.1306084 42.4756659),09/26/2003,07/04/2017
2047983,Harmony Health Center,Hospital,IA,Linn,263,863,Mount Vernon,POINT (-91.3851688 41.9241753),10/04/2004,
1996176,Community Care Center,Hospital,IA,Adair,372,1220,Stuart South,POINT (-94.3224627 41.4972102),09/16/2003,
1995265,Sioux City Family Physicians Center,Hospital,IA,Woodbury,353,1158,Sioux City North,POINT (-96.4064179 42.5436051),09/16/2003,
1995250,Pathology Medical Services Center,Hospital,IA,Woodbury,390,1280,Sioux City North,POINT (-96.4058625 42.5197163),09/16/2003,
2000960,Mercy Health Center,Hospital,IA,Jackson,188,617,Bellevue,POINT (-90.4245728 42.2594601),09/26/2003,
2046433,Area Wide Foot and Ankle Center,Hospital,IA,Scott,202,663,Davenport East,POINT (-90.5034674 41.5497554),09/22/2004,
1997393,Grinnell Regional Medical Center,Hospital,IA,Poweshiek,307,1007,Grinnell South,POINT (-92.7342839 41.7427293),09/16/2003,05/22/2017
1996946,McFarland Clinic,Hospital,IA,Hamilton,339,1112,Stratford,POINT (-93.9266166 42.2713655),09/16/2003,
2046287,Manor Care Health Services,Hospital,IA,Scott,211,692,Davenport East,POINT (-90.5634695 41.5380882),09/22/2004,
2046512,Le Claire Family Medical Clinic,Hospital,IA,Scott,182,597,Port Byron,POINT (-90.3440175 41.6022552),09/22/2004,
2000218,Vinton Lutheran Home,Hospital,IA,Benton,244,801,Vinton,POINT (-92.0232363 42.1588842),09/26/2003,
2046801,Mercy Care Physicians Center,Hospital,IA,Linn,223,732,Cedar Rapids South,POINT (-91.6582351 41.9777786),09/22/2004,
1997390,Ear Nose and Throat Clinic,Hospital,IA,Poweshiek,308,1010,Grinnell South,POINT (-92.7340793 41.74277140000001),09/16/2003,
1996068,Panora Medical Clinic,Hospital,IA,Guthrie,320,1050,Panora,POINT (-94.3532989 41.6930424),09/16/2003,
1982928,Trimark Physicians Group Building,Hospital,IA,Sac,372,1220,Sac City East,POINT (-94.9794329 42.4185922),01/16/2003,
1996904,Van Diest Medical Center,Hospital,IA,Hamilton,330,1083,Webster City,POINT (-93.8120344 42.4528694),09/16/2003,01/06/2020
1982796,Reed House,Hospital,IA,Crawford,397,1302,Denison,POINT (-95.336942 42.0199879),01/16/2003,
1983074,Horn Memorial Hospital,Hospital,IA,Ida,380,1247,Ida Grove,POINT (-95.4597393 42.3388445),01/16/2003,11/09/2017
1996322,Family Eye Clinic of Perry,Hospital,IA,Dallas,294,965,Perry,POINT (-94.1049575 41.8419296),09/16/2003,
2002424,Pediatric Associates Center,Hospital,IA,Johnson,226,741,Iowa City West,POINT (-91.5929483 41.6958482),09/26/2003,
2001157,Tri-State Surgery Center,Hospital,IA,Dubuque,258,846,Dubuque South,POINT (-90.7354051 42.495836000000004),09/26/2003,
2000555,Wilton Care Center,Hospital,IA,Muscatine,218,715,Wilton,POINT (-91.0118178 41.5953042),09/26/2003,
1995472,Burgess Family Clinic,Hospital,IA,Woodbury,326,1070,Sloan,POINT (-96.1930775 42.23276860000001),09/16/2003,
1999368,McFarland Eye Center,Hospital,IA,Story,307,1007,Story City,POINT (-93.5938267 42.189984),09/26/2003,
2046565,Blue Grass Family Medical Center,Hospital,IA,Scott,241,791,Walcott,POINT (-90.7654212 41.5044749),09/22/2004,
2000685,Eagle Point Nursing and Rehabilitation Center,Hospital,IA,Clinton,194,636,Clinton NW,POINT (-90.190405 41.8778063),09/26/2003,
2002476,Family Care Center,Hospital,IA,Johnson,238,781,Iowa City West,POINT (-91.5979498 41.7491805),09/26/2003,
1994940,Burlington Obstetrics and Gynecology Center,Hospital,IA,Des Moines,215,705,West Burlington,POINT (-91.1709805 40.8105944),09/16/2003,
1995264,Sunrise Retirement Community,Hospital,IA,Woodbury,397,1302,Sergeant Bluff,POINT (-96.3375278 42.4766604),09/16/2003,
2046811,River Ridge Family Practice Center,Hospital,IA,Linn,261,856,Cedar Rapids North,POINT (-91.7001804 42.019443),09/22/2004,
1996374,Greene Street Medical Clinic,Hospital,IA,Dallas,289,948,Adel,POINT (-94.0338425 41.6135992),09/16/2003,
2048051,Mercy Care Center,Hospital,IA,Linn,263,863,Cedar Rapids North,POINT (-91.69962430000001 42.0355537),10/04/2004,
1982987,Rock Vision Clinic,Hospital,IA,Sac,382,1253,Lake View,POINT (-95.053324 42.30665),01/16/2003,
1997073,Eye Care Associates,Hospital,IA,Marshall,279,915,Marshalltown,POINT (-92.9043663 42.0494323),09/16/2003,
2002301,Iowa City Family Practice Center,Hospital,IA,Johnson,205,673,Iowa City West,POINT (-91.5279461 41.6639055),09/26/2003,
2046804,Hallmar Residential Care Center,Hospital,IA,Linn,221,725,Cedar Rapids South,POINT (-91.6549015 41.9744454),09/22/2004,
1999922,Good Neighbor Home,Hospital,IA,Delaware,292,958,Manchester,POINT (-91.437091 42.4852655),09/26/2003,
1983443,Oakview Nursing Home,Hospital,IA,Grundy,309,1014,Conrad East,POINT (-92.8674232 42.2241522),01/16/2003,
2048669,Hawkeye Care Center,Hospital,IA,Polk,275,902,Commerce,POINT (-93.7613336 41.577767),10/04/2004,
1994717,Iowa Orthopedic Group Center,Hospital,IA,Carroll,389,1276,Carroll East,POINT (-94.8669304 42.0555408),09/16/2003,
2046279,First Med Clinics,Hospital,IA,Scott,216,709,Davenport East,POINT (-90.5726368 41.575032),09/22/2004,
1999258,Doran Clinic for Women,Hospital,IA,Story,283,928,Ames East,POINT (-93.6116066 42.0324861),09/26/2003,
1999459,McFarland Clinic,Hospital,IA,Story,290,951,Nevada,POINT (-93.4529898 42.0122097),09/26/2003,
1983253,Gladbrook Family Health Center,Hospital,IA,Tama,297,974,Gladbrook,POINT (-92.7149212 42.1877647),01/16/2003,
1995930,Eye Care Associates Center,Hospital,IA,Greene,326,1070,Jefferson East,POINT (-94.3730238 42.0166497),09/16/2003,
2002511,Solon Family Practice Clinic,Hospital,IA,Johnson,233,764,Solon,POINT (-91.4987828 41.8069565),09/26/2003,
2002124,Ravenwood Health Care Center,Hospital,IA,Black Hawk,283,928,Waterloo South,POINT (-92.3451856 42.461098),09/26/2003,
2001366,Oakcrest Nursing Home,Hospital,IA,Dubuque,289,948,Dyersville West,POINT (-91.1281918 42.4772183),09/26/2003,
1999606,Prairie City Family Clinic,Hospital,IA,Jasper,283,928,Prairie City,POINT (-93.2357609 41.5986007),09/26/2003,
2046027,Cedar Falls Care Center,Hospital,IA,Black Hawk,296,971,Cedar Falls,POINT (-92.466577 42.5305396),09/22/2004,
1996315,Rowley Memorial Masonic Home,Hospital,IA,Dallas,296,971,Perry,POINT (-94.0774565 41.8388742),09/16/2003,
2001152,Dubuque Obstetrics and Gynocology Center,Hospital,IA,Dubuque,275,902,Dubuque South,POINT (-90.6862385 42.4966695),09/26/2003,
1997069,McFarland Clinic,Hospital,IA,Marshall,285,935,Marshalltown,POINT (-92.9068663 42.048599),09/16/2003,
1983078,Ida Grove Mercy Medical Clinic,Hospital,IA,Ida,374,1227,Ida Grove,POINT (-95.4647219 42.344987),01/16/2003,
2048470,The Abbey,Hospital,IA,Polk,249,817,Des Moines SE,POINT (-93.5735497 41.618878),10/04/2004,
1996677,Marian Home and Village Nursing Home,Hospital,IA,Webster,339,1112,Fort Dodge North,POINT (-94.1655157 42.51246940000001),09/16/2003,
1997603,Presbyterian Village,Hospital,IA,Hardin,331,1086,Ackley,POINT (-93.0468664 42.5516452),09/16/2003,
1994937,Gastroenterology Clinic,Hospital,IA,Des Moines,215,705,West Burlington,POINT (-91.1709805 40.8105944),09/16/2003,
2048475,Union Park Health Services Center,Hospital,IA,Polk,260,853,Des Moines SE,POINT (-93.6071619 41.6169334),10/04/2004,
2048485,Saydel Community Health Center,Hospital,IA,Polk,277,909,Des Moines NE,POINT (-93.5574381 41.6444333),10/04/2004,
1996064,Panora Family Medicine Center,Hospital,IA,Guthrie,325,1066,Panora,POINT (-94.3624658 41.6913757),09/16/2003,
2002122,Covenant Cencer Treatment Center,Hospital,IA,Black Hawk,289,948,Waterloo South,POINT (-92.3554636 42.4699866),09/26/2003,
2046786,Eastern Iowa Heart Institute,Hospital,IA,Linn,231,758,Cedar Rapids South,POINT (-91.6607353 41.9852782),09/22/2004,
1996475,Heartland Health Center,Hospital,IA,Boone,344,1129,Boone West,POINT (-93.8846718 42.062482300000006),09/16/2003,
2000523,Unity Physician Clinic,Hospital,IA,Muscatine,197,646,Muscatine,POINT (-91.0543167 41.4333616),09/26/2003,
1996096,Guthrie County Hospital,Hospital,IA,Guthrie,380,1247,Guthrie Center East,POINT (-94.4935603 41.6838116),09/16/2003,01/05/2020
1995851,McFarland Clinic at Lake City,Hospital,IA,Calhoun,370,1214,Lake City,POINT (-94.7488709 42.266094),09/16/2003,
1995121,Heartland Foot and Ankle Clinic,Hospital,IA,Des Moines,210,689,West Burlington,POINT (-91.1418131 40.8264275),09/16/2003,
1994854,Audubon Vision Clinic,Hospital,IA,Audubon,411,1348,Audubon,POINT (-94.9313757 41.7216532),09/16/2003,
1997077,McFarland Clinic Southside,Hospital,IA,Marshall,300,984,Marshalltown,POINT (-92.9171437 42.0155439),09/16/2003,
1996901,Wolfe Clinic Eye Center,Hospital,IA,Hamilton,312,1024,Webster City,POINT (-93.8049424 42.467752),09/16/2003,
1982976,Odebolt Nursing and Rehabilitation Center,Hospital,IA,Sac,427,1401,Odebolt East,POINT (-95.2430499 42.3041513),01/16/2003,
1996177,Stuart Family Practice Center,Hospital,IA,Adair,372,1220,Stuart South,POINT (-94.3219071 41.4972102),09/16/2003,
1995268,Indian Hills Nursing and Rehabilitation Center,Hospital,IA,Woodbury,404,1325,Sioux City North,POINT (-96.3866953 42.5338828),09/16/2003,
1995249,Central Plains Clinic,Hospital,IA,Woodbury,390,1280,Sioux City North,POINT (-96.4058625 42.5197163),09/16/2003,
1982869,Charter Oak Mercy Medical Center,Hospital,IA,Crawford,385,1263,Charter Oak,POINT (-95.5913915 42.0677666),01/16/2003,
2000927,Total Foot Care Center,Hospital,IA,Jackson,212,696,Maquoketa,POINT (-90.6737471 42.0694642),09/26/2003,
1995084,Danville Chiropractic Office,Hospital,IA,Des Moines,222,728,Danville,POINT (-91.3140405 40.8667028),09/16/2003,
1999254,Riverside Manor,Hospital,IA,Story,273,896,Ames West,POINT (-93.6263294 42.0185972),09/26/2003,
1994721,Carroll Manor,Hospital,IA,Carroll,381,1250,Carroll East,POINT (-94.8638747 42.052763),09/16/2003,
2046808,Evergreen Estates II,Hospital,IA,Linn,253,830,Cedar Rapids South,POINT (-91.7160137 41.9658341),09/22/2004,
1995263,Morningside Clinic,Hospital,IA,Woodbury,368,1207,Sergeant Bluff,POINT (-96.3733621 42.4638828),09/16/2003,
1996667,Doctor Tan's Clinic for Women,Hospital,IA,Webster,340,1115,Fort Dodge South,POINT (-94.1969062 42.4719145),09/16/2003,
