Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
390093,CLARION HOSPITAL,ONE HOSPITAL DRIVE,CLARION,PA,16214,CLARION,(814) 226-9500,Acute Care Hospitals,Voluntary non-profit - Other,true,true,2,,Same as the national average,,Not Available,5,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,
390325,OSS ORTHOPAEDIC HOSPITAL,1861 POWDER MILL RD,YORK,PA,17402,YORK,(717) 718-2000,Acute Care Hospitals,Proprietary,false,true,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Not Available,5,Not Available,16,Not Available,5,POINT (-76.696813 39.91669)
403301,UNIVERSITY PEDIATRIC HOSPITAL,PUERTO RICO MEDICAL CENTER IN RIO PIEDRAS,SAN JUAN,PR,00935,SAN JUAN,(787) 777-3232,Childrens,Government - State,true,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
440007,UNITY MEDICAL CENTER,481 INTERSTATE DRIVE,MANCHESTER,TN,37355,COFFEE,(931) 728-6354,Acute Care Hospitals,Physician,true,true,4,,Same as the national average,,Not Available,5,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Not Available,5,POINT (-86.078141 35.497932)
453301,DRISCOLL CHILDRENS HOSPITAL,3533 S ALAMEDA BOX 6530,CORPUS CHRISTI,TX,78411,NUECES,(361) 739-4846,Childrens,Voluntary non-profit - Private,true,,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,Not Available,5,
460039,BEAR RIVER VALLEY HOSPITAL,905 NORTH 1000 WEST,TREMONTON,UT,84337,BOX ELDER,(435) 207-4500,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,,Not Available,5,Not Available,5,Same as the national average,,Not Available,16,Same as the national average,,Same as the national average,,Not Available,5,POINT (-112.181979 41.723768)
50005F,Madigan AMC (FT Lewis),9040 Jackson Avenue,Tacoma,WA,98431,PIERCE,(253) 968-1110,Acute Care - Department of Defense,Department of Defense,true,,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,
670062,BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,26791 HIGHWAY 380,AUBREY,TX,76227,DENTON,(972) 347-2525,Acute Care Hospitals,Proprietary,true,,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Above the national average,,Same as the national average,,Above the national average,,Not Available,5,
210022,SUBURBAN HOSPITAL,8600 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,MONTGOMERY,(301) 896-2576,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,POINT (-77.10922 38.997251)
054032,BHC ALHAMBRA HOSP,4619 N ROSEMEAD BLVD,ROSEMEAD,CA,91770,LOS ANGELES,(626) 286-1191,Psychiatric,Proprietary,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-118.073556 34.088658)
100106,DOCTORS MEMORIAL HOSPITAL INC,333 N BYRON BUTLER PKWY,PERRY,FL,32348,TAYLOR,(850) 584-0800,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,,Same as the national average,,Not Available,5,Below the national average,,Not Available,16,Below the national average,,Below the national average,,Same as the national average,,POINT (-83.592009 30.121128)
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,true,,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Same as the national average,,Not Available,16,POINT (-88.296081 32.491825)
214003,BROOK LANE HEALTH SERVICES,13215  BROOK LANE DRIVE,HAGERSTOWN,MD,21742,WASHINGTON,(301) 733-0330,Psychiatric,Voluntary non-profit - Private,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-77.609245 39.677869)
310010,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,08536,MIDDLESEX,(866) 460-4776,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,
140145,ST JOSEPHS HOSPITAL,9515 HOLY CROSS LN,BREESE,IL,62230,CLINTON,(618) 526-4511,Acute Care Hospitals,Voluntary non-profit - Church,true,true,5,,Same as the national average,,Not Available,5,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-89.524944 38.625154)
161333,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,STORY,(515) 382-2111,Critical Access Hospitals,Government - Local,true,true,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,16,Not Available,16,POINT (-93.434902 42.005334)
104076,UNIVERSITY BEHAVIORAL CENTER,2500 DISCOVERY DRIVE,ORLANDO,FL,32826,ORANGE,(407) 281-7000,Psychiatric,Voluntary non-profit - Private,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-81.191544 28.581858)
271323,CLARK FORK VALLEY HOSPITAL,10 KRUGER RD,PLAINS,MT,59859,SANDERS,(406) 826-4800,Critical Access Hospitals,Voluntary non-profit - Private,true,true,3,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,,POINT (-114.891908 47.469539)
251307,NOXUBEE GENERAL CRITICAL ACCESS HOSP,78 HOSPITAL ROAD,MACON,MS,39341,NOXUBEE,(662) 726-4231,Critical Access Hospitals,Government - Local,true,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
381318,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,810 12TH STREET,HOOD RIVER,OR,97031,HOOD RIVER,(541) 386-3911,Critical Access Hospitals,Voluntary non-profit - Church,true,true,4,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-121.523224 45.704561)
420103,PELHAM MEDICAL CENTER,250 WESTMORELAND ROAD,GREER,SC,29651,GREENVILLE,(864) 560-6554,Acute Care Hospitals,Government - Hospital District or Authority,true,true,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-82.217661 34.86351)
154053,MERIDIAN SERVICES CORP,2401 W UNIVERSITY AVE,MUNCIE,IN,47303,DELAWARE,(765) 751-5377,Psychiatric,Voluntary non-profit - Private,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-85.414363 40.197622)
150097,MAJOR HOSPITAL,2451 INTELLIPLEX DR,SHELBYVILLE,IN,46176,SHELBY,(317) 392-3211,Acute Care Hospitals,Government - Local,true,true,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,POINT (-85.78397 39.560017)
424005,G WERBER BRYAN PSYCH HOSP,220 FAISON DR,COLUMBIA,SC,29203,RICHLAND,(803) 935-7143,Psychiatric,Government - State,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-80.980762 34.084139)
240075,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,523 NORTH 3RD STREET,BRAINERD,MN,56401,CROW WING,(218) 829-2861,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-94.205143 46.362509)
074014,SILVER HILL HOSPITAL INC,208 VALLEY ROAD,NEW CANAAN,CT,06840,FAIRFIELD,(203) 966-3561,Psychiatric,Government - Federal,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-73.468247 41.16524)
450711,RIO GRANDE REGIONAL HOSPITAL,101 E RIDGE RD,MCALLEN,TX,78503,HIDALGO,(956) 632-6000,Acute Care Hospitals,Proprietary,true,true,4,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-98.224124 26.185939)
450187,BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM,700 MEDICAL PARKWAY,BRENHAM,TX,77833,WASHINGTON,(979) 836-6173,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,,Same as the national average,,Not Available,5,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,POINT (-96.398937 30.145082)
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN,PA,16365,WARREN,(814) 723-3300,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,
18003F,Blanchfield ACH (FT Campbell),650 Joel Drive,Fort Campbell,KY,42223,CHRISTIAN,(270) 798-8400,Acute Care - Department of Defense,Department of Defense,true,,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,Not Available,22,POINT (-87.448787 36.637336)
140179,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,60805,COOK,(708) 422-6200,Acute Care Hospitals,Voluntary non-profit - Other,true,true,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-87.691966 41.720902)
170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,SALINE,(785) 452-7000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-97.610525 38.833271)
194089,GENESIS BEHAVIORAL HOSPITAL,606 LATIOLAIS ROAD,BREAUX BRIDGE,LA,70517,ST. MARTIN,(337) 442-6254,Psychiatric,Proprietary,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
390111,HOSPITAL OF UNIV OF PENNSYLVANIA,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,PHILADELPHIA,(215) 662-3227,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,
141328,HARDIN COUNTY GENERAL HOSPITAL & CLINIC,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,(618) 285-6634,Critical Access Hospitals,Voluntary non-profit - Private,true,true,Not Available,16,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,16,Not Available,5,Not Available,5,
051333,RIDGECREST REGIONAL HOSPITAL,1081 NORTH CHINA LAKE BLVD,RIDGECREST,CA,93555,KERN,(760) 446-3551,Critical Access Hospitals,Voluntary non-profit - Private,true,true,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Same as the national average,,POINT (-117.669852 35.640802)
384012,CEDAR HILLS HOSPITAL,10300 SW EASTRIDGE STREET,PORTLAND,OR,97225,WASHINGTON,(503) 944-5000,Psychiatric,Proprietary,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-122.783797 45.506265)
520059,AURORA MEMORIAL HOSPITAL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,RACINE,(262) 767-6545,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-88.282648 42.673515)
250128,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,(662) 563-5611,Acute Care Hospitals,Proprietary,true,true,3,,Same as the national average,,Not Available,5,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,POINT (-89.916488 34.306319)
400079,HOSP COMUNITARIO BUEN SAMARITANO,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA,PR,00603,AGUADILLA,(787) 658-0000,Acute Care Hospitals,Voluntary non-profit - Other,true,true,Not Available,16,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
104049,SOUTHERN WINDS,4225 W 20TH AVE,HIALEAH,FL,33012,MIAMI-DADE,(305) 558-9700,Psychiatric,Proprietary,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-80.322333 25.860114)
150024,ESKENAZI HEALTH,720 ESKENAZI AVENUE,INDIANAPOLIS,IN,46202,MARION,(317) 880-4818,Acute Care Hospitals,Government - Local,true,true,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-86.17345 39.78053)
050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,LOS ANGELES,(818) 782-6600,Acute Care Hospitals,Voluntary non-profit - Other,false,true,2,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-118.463271 34.193917)
511322,SUMMERSVILLE REGIONAL MEDICAL CENTER,400 FAIRVIEW HEIGHTS ROAD,SUMMERSVILLE,WV,26651,NICHOLAS,(304) 872-2891,Critical Access Hospitals,Government - Local,true,,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,POINT (-80.831136 38.291903)
261312,HARRISON COUNTY COMMUNITY HOSPITAL,2600 MILLER STREET,BETHANY,MO,64424,HARRISON,(660) 425-0284,Critical Access Hospitals,Government - Hospital District or Authority,true,true,4,,Not Available,5,Not Available,16,Above the national average,,Not Available,16,Not Available,5,Same as the national average,,Same as the national average,,POINT (-94.026145 40.265292)
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD,ELK GROVE VILLAGE,IL,60007,COOK,(847) 437-5500,Acute Care Hospitals,Voluntary non-profit - Church,true,true,5,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-88.014996 42.003705)
471303,NORTHEASTERN VERMONT REGIONAL HOSPITAL,1315 HOSPITAL DRIVE,SAINT JOHNSBURY,VT,05819,CALEDONIA,(802) 748-7400,Critical Access Hospitals,Voluntary non-profit - Private,true,true,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,16,Not Available,16,Same as the national average,,POINT (-72.009516 44.445262)
030043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,(520) 263-3001,Acute Care Hospitals,Voluntary non-profit - Other,true,true,2,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,POINT (-110.230726 31.554635)
281316,WEBSTER COUNTY COMMUNITY HOSPITAL,"P O BOX 465, 621 N FRANKLIN ST",RED CLOUD,NE,68970,WEBSTER,(402) 746-5600,Critical Access Hospitals,Government - Local,true,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Above the national average,,Not Available,16,
171357,HILLSBORO COMMUNITY HOSPITAL,101 INDUSTRIAL ROAD,HILLSBORO,KS,67063,MARION,(620) 947-3114,Critical Access Hospitals,Proprietary,false,,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,16,POINT (-97.187589 38.361495)
120002,MAUI MEMORIAL MEDICAL CENTER,221 MAHALANI STREET,WAILUKU,HI,96793,MAUI,(808) 442-5101,Acute Care Hospitals,Government - State,false,true,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,POINT (-156.488087 20.884455)
111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,CAMILLA,GA,31730,MITCHELL,(229) 336-5284,Critical Access Hospitals,Government - Hospital District or Authority,true,true,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Same as the national average,,Not Available,5,POINT (-84.205091 31.229277)
230036,MIDMICHIGAN MEDICAL CENTER - ALPENA,1501 W CHISHOLM ST,ALPENA,MI,49707,ALPENA,(989) 356-7390,Acute Care Hospitals,Proprietary,true,true,2,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,POINT (-83.450672 45.076857)
230066,MERCY HEALTH HACKLEY CAMPUS,1700 CLINTON STREET,MUSKEGON,MI,49442,MUSKEGON,(231) 726-3511,Acute Care Hospitals,Voluntary non-profit - Private,true,true,5,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-86.243075 43.221939)
450774,TOPS SURGICAL SPECIALTY HOSPITAL,17080 RED OAK DRIVE,HOUSTON,TX,77090,HARRIS,(281) 539-2900,Acute Care Hospitals,Physician,true,true,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Same as the national average,,Not Available,5,Not Available,16,POINT (-95.444846 30.018542)
310060,ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,08865,WARREN,(908) 847-6700,Acute Care Hospitals,Voluntary non-profit - Other,true,true,4,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-75.179608 40.701628)
400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,PR,00915,SAN JUAN,(787) 782-9999,Acute Care Hospitals,Proprietary,true,true,Not Available,16,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
450194,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,501 S RAGSDALE,JACKSONVILLE,TX,75766,CHEROKEE,(903) 541-5000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-95.270547 31.961418)
340021,ATRIUM HEALTH CLEVELAND,201 E GROVER ST,SHELBY,NC,28150,CLEVELAND,(704) 487-3000,Acute Care Hospitals,Government - Hospital District or Authority,true,true,3,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-81.535343 35.301837)
061328,PAGOSA SPRINGS MEDICAL CENTER,95 SOUTH PAGOSA BOULEVARD,PAGOSA SPRINGS,CO,81147,ARCHULETA,(970) 731-3700,Critical Access Hospitals,Government - Hospital District or Authority,true,true,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,5,POINT (-107.077219 37.252776)
390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,LANGHORNE,PA,19047,BUCKS,(215) 750-2003,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,BEXAR,(210) 704-3342,Acute Care Hospitals,Voluntary non-profit - Church,true,true,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,POINT (-98.591557 29.512909)
230165,ASCENSION ST JOHN HOSPITAL,22101 MOROSS RD,DETROIT,MI,48236,WAYNE,(313) 343-4000,Acute Care Hospitals,Voluntary non-profit - Church,true,true,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-82.915008 42.419011)
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,(907) 276-1131,Acute Care Hospitals,Proprietary,true,true,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,POINT (-149.827379 61.20979)
230142,BEAUMONT HOSPITAL - WAYNE,33155 ANNAPOLIS AVE,WAYNE,MI,48184,WAYNE,(734) 467-4175,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-83.365625 42.274275)
301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,03458,HILLSBOROUGH,(603) 924-7191,Critical Access Hospitals,Proprietary,true,,3,,Same as the national average,,Not Available,5,Same as the national average,,Above the national average,,Not Available,5,Same as the national average,,Same as the national average,,POINT (-71.937471 42.893461)
194113,LAKE PINES HOSPITAL,3639 LOYOLA AVENUE,KENNER,LA,70065,JEFFERSON,(504) 305-2700,Psychiatric,Proprietary,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-90.269388 30.025363)
464014,PROVO CANYON BEHAVIORAL HOSPITAL,1350 EAST 750 NORTH,OREM,UT,84097,UTAH,(801) 852-2273,Psychiatric,Proprietary,false,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-111.663668 40.311262)
201303,PENOBSCOT VALLEY HOSPITAL,"7 TRANSALPINE ROAD, PO BOX 368",LINCOLN,ME,04457,PENOBSCOT,(207) 794-3321,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Same as the national average,,Same as the national average,,POINT (-68.516258 45.348733)
